name,price,pic
Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G,5999.00,//img12.360buyimg.com/n7/jfs/t1/103980/26/12527/248017/5e4a6b2bEde93b893/af9f1eb0617ce599.jpg
荣耀20S 李现同款 3200万人像超级夜景 4800万超广角AI三摄 麒麟810 全网通版6GB+128GB 蝶羽蓝,1499.00,//img10.360buyimg.com/n7/jfs/t1/103237/7/12427/130369/5e4a95c7E45b3da86/d7fadd41ab329a52.jpg
荣耀20青春版 AMOLED屏幕指纹 4000mAh大电池 20W快充 4800万 ,999.00,//img13.360buyimg.com/n7/jfs/t1/102281/27/12495/183672/5e4a9965E3fef98be/f9807429803525e9.jpg
Redmi 8A 5000mAh 骁龙八核处理器 AI人脸解锁 4GB+64GB 深海蓝 游戏老人,669.00,//img10.360buyimg.com/n7/jfs/t1/93499/17/90/221850/5da6d4ebE9747a490/8b167328e1dadff8.jpg
荣耀20 李现同款 4800万超广角AI四摄 3200W美颜自拍 麒麟Kirin980全网通版8GB+128GB 幻夜黑 全面屏,2099.00,//img12.360buyimg.com/n7/jfs/t1/98413/32/12309/112653/5e4666b1E25536aa6/1d4801133582b3b8.jpg
荣耀9X 麒麟810 4000mAh续航 4800万超清夜拍 6.59英寸升降全面屏 全网通6GB+64GB 魅海蓝,1299.00,//img12.360buyimg.com/n7/jfs/t1/93317/13/12613/178657/5e4a9083Ed9c5c625/222cd155f9550b6f.jpg
Apple iPhone XS Max (A2104) 256GB 金色 移动联通电信4G,7199.00,//img12.360buyimg.com/n7/jfs/t1/100188/3/12327/337705/5e476fcaE4d414dfd/827bae920b090203.jpg
荣耀20 PRO 李现同款 4800万全焦段AI四摄 双光学防抖 麒麟980 全网通4G 8GB+128GB 蓝水翡翠 拍照,2499.00,//img13.360buyimg.com/n7/jfs/t1/92521/25/12483/125889/5e4a9f72Ee295d170/e0372cafdc1afdc1.jpg
OPPO K5 6GB+128GB 赛博金属 6400万超清四摄 VOOC闪充4.0 高通骁龙730G 4G游戏智能,1699.00,//img10.360buyimg.com/n7/jfs/t1/70128/12/11277/106624/5d8ae635Ea33fc84a/6c311712705df4e7.jpg
华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+64GB亮黑色全网通版双4G,2199.00,//img12.360buyimg.com/n7/jfs/t24667/345/1891302509/488286/31587d0d/5bbf1d7cN1c1408ac.jpg
